Time,C G1 G1,C G1 G2,C G1 G3,C G1 G4,C G2 G2,C G2 G3,C G2 G4,C G3 G3,C G3 G4,C G4 G4,CC G1,CC G2,CC G3,CC G4,CVS G1,CVS G2,CVS G3,CVS G4,CI G1,CI G2,CI G3,CI G4,CAB G1 G3,CAB G1 G4,DME,FT,I G1,I0 G1,I G2,I0 G2,I G3,I0 G3,I G4,I0 G4,IT,P G1,P G2,P G3,P G4,PT0 G1,PT0 G2,PT0 G3,PT0 G4,PTE,R G1,R G2,R G3,R G4,S G1,S0 G1,S G2,S0 G2,S G3,S0 G3,S G4,S0 G4,SAVEPER,TC G1,TCS G1 G1,TCS G1 G2,TCS G1 G3,TCS G1 G4,TC G2,TCS G2 G1,TCS G2 G2,TCS G2 G3,TCS G2 G4,TC G3,TCS G3 G1,TCS G3 G2,TCS G3 G3,TCS G3 G4,TC G4,TCS G4 G1,TCS G4 G2,TCS G4 G3,TCS G4 G4,TCONTAGIO G1,TCONTAGIO G2,TCONTAGIO G3,TCONTAGIO G4,TR,TIME STEP,TVS
40,,,,,,,,,,,303118,143963,561686,280843,112893,64253,266465,133233,159227,655529,248442,124221,,,,,242494,,115.17,,449349,,224675,,,0.242494,0.230341,0.224675,0.224675,,,,,,564464,321265,133233,666163,193042,999,635647,500,218324,200,109162,100,,164967,0.969977,0.230341,0.224675,0.224675,206256,0.242494,0.921363,0.449349,0.449349,22759,0.242494,0.460682,0.898698,0.674024,22759,0.242494,0.460682,0.674024,0.898698,0.0824834,0.103128,0.113795,0.113795,125,,
41,,,,,,,,,,,285423,134493,524047,262024,116483,657362,271932,135966,146457,614168,235036,117518,,,,,228338,,107595,,419238,,209619,,,0.228338,0.215189,0.209619,0.209619,,,,,,582413,328681,135966,679831,189248,999,637245,500,221101,200,110551,100,,154778,0.913353,0.215189,0.209619,0.209619,192757,0.228338,0.860757,0.419238,0.419238,212605,0.228338,0.430378,0.838475,0.628856,212605,0.228338,0.430378,0.628856,0.838475,0.077389,0.0963785,0.106302,0.106302,125,,
42,,,,,,,,,,,268431,125697,489414,244707,119658,670092,276576,138288,135702,5803,224163,112081,,,,,214745,,100558,,391531,,195765,,,0.214745,0.201115,0.195765,0.195765,,,,,,598289,335046,138288,691439,186966,999,643967,500,225592,200,112796,100,,145163,0.858979,0.201115,0.195765,0.195765,180227,0.214745,0.804461,0.391531,0.391531,198733,0.214745,0.40223,0.783062,0.587296,198733,0.214745,0.40223,0.587296,0.783062,0.0725813,0.0901134,0.0993667,0.0993667,125,,
43,,,,,,,,,,,252275,117573,457694,228847,122442,680894,28047,140235,126605,552313,215243,107621,,,,,201.82,,940584,,366155,,183078,,,0.20182,0.188117,0.183078,0.183078,,,,,,612209,340447,140235,701175,185971,999,654944,500,231494,200,115747,100,,136155,0.807279,0.188117,0.183078,0.183078,16866,0.20182,0.752467,0.366155,0.366155,18596,0.20182,0.376233,0.73231,0.549233,18596,0.20182,0.376233,0.549233,0.73231,0.0680775,0.0843299,0.0929798,0.0929798,125,,
44,,,,,,,,,,,237032,110104,428748,214374,12486,68994,283687,141844,118871,528977,207843,103922,,,,,189626,,880829,,342999,,171499,,,0.189626,0.176166,0.171499,0.171499,,,,,,624299,344.97,141844,709219,186076,999,66947,500,238564,200,119282,100,,127767,0.758503,0.176166,0.171499,0.171499,158029,0.189626,0.704663,0.342999,0.342999,174245,0.189626,0.352332,0.685997,0.514498,174245,0.189626,0.352332,0.514498,0.685997,0.0638834,0.0790143,0.0871226,0.0871226,125,,
45,,,,,,,,,,,222742,103261,402409,201204,126937,697391,286294,143147,112264,509352,201643,100822,,,,,178193,,826086,,321927,,160964,,,0.178193,0.165217,0.160964,0.160964,,,,,,634687,348695,143147,715735,187.12,999,68696,500,246602,200,123301,100,,119992,0.712773,0.165217,0.160964,0.160964,148292,0.178193,0.660869,0.321927,0.321927,163537,0.178193,0.330435,0.643854,0.482891,163537,0.178193,0.330435,0.482891,0.643854,0.0599959,0.0741458,0.0817687,0.0817687,125,,
46,,,,,,,,,,,209412,9701,378496,189248,12.87,703398,288352,144176,106591,492725,196404,0.982022,,,,,167529,,77608,,302797,,151398,,,0.167529,0.155216,0.151398,0.151398,,,,,,643502,351699,144176,72088,188969,999,706929,500,255444,200,127722,100,,112813,0.670117,0.155216,0.151398,0.151398,139399,0.167529,0.620864,0.302797,0.302797,153775,0.167529,0.310432,0.605593,0.454195,153775,0.167529,0.310432,0.454195,0.605593,0.0564065,0.0696993,0.0768875,0.0768875,125,,
47,,,,,,,,,,,197029,913135,356825,178413,130174,708104,289918,144959,101695,47855,191948,0.959738,,,,,157623,,730508,,28546,,14273,,,0.157623,0.146102,0.14273,0.14273,,,,,,650.87,354052,144959,724795,191506,999,72897,500,26495,200,132475,100,,106206,0.630494,0.146102,0.14273,0.14273,131295,0.157623,0.584407,0.28546,0.28546,144894,0.157623,0.292203,0.57092,0.42819,144894,0.157623,0.292203,0.42819,0.57092,0.0531028,0.0656475,0.0724469,0.0724469,125,,
48,,,,,,,,,,,185567,861324,337217,168609,131382,711641,291045,145522,974532,466412,18814,0.940702,,,,,148454,,689059,,269774,,134887,,,0.148454,0.137812,0.134887,0.134887,,,,,,656912,355821,145522,727612,194634,999,752734,500,275002,200,137501,100,,10014,0.593814,0.137812,0.134887,0.134887,123925,0.148454,0.551247,0.269774,0.269774,136829,0.148454,0.275624,0.539548,0.404661,136829,0.148454,0.275624,0.404661,0.539548,0.05007,0.0619624,0.0684143,0.0684143,125,,
49,,,,,,,,,,,174987,81428,3195,15975,132349,714131,29178,14589,937642,455991,184883,0.924417,,,,,139.99,,651424,,25.56,,12.78,,,0.13999,0.130285,0.1278,0.1278,,,,,,661745,357065,145.89,72945,198266,999,777923,500,285499,200,14275,100,,0.945844,0.559959,0.130285,0.1278,0.1278,117233,0.13999,0.521139,0.2556,0.2556,129516,0.13999,0.26057,0.5112,0.3834,129516,0.13999,0.26057,0.3834,0.5112,0.0472922,0.0586165,0.064758,0.064758,125,,
50,,,,,,,,,,,165246,77163,303511,151756,133095,715683,292168,146084,905474,447043,182102,0.910509,,,,,132197,,617304,,242809,,121404,,,0.132197,0.123461,0.121404,0.121404,,,,,,665475,357841,146084,730419,202328,999,804281,500,296354,200,148177,100,,0.895057,0.528787,0.123461,0.121404,0.121404,111166,0.132197,0.493843,0.242809,0.242809,122895,0.132197,0.246922,0.485618,0.364213,122895,0.132197,0.246922,0.364213,0.485618,0.0447528,0.0555829,0.0614475,0.0614475,125,,
51,,,,,,,,,,,156296,733018,2891,14455,133642,716401,292246,146123,877377,439377,179739,0.898696,,,,,125037,,586415,,23128,,11564,,,0.125037,0.117283,0.11564,0.11564,,,,,,668208,358.2,146123,730616,206755,999,831581,500,307488,200,153744,100,,0.848711,0.500149,0.117283,0.11564,0.11564,105673,0.125037,0.469132,0.23128,0.23128,116908,0.125037,0.234566,0.462559,0.346919,116908,0.125037,0.234566,0.346919,0.462559,0.0424356,0.0528364,0.0584541,0.0584541,125,,
52,,,,,,,,,,,14809,698113,276127,138063,134007,716377,292053,146027,852823,432849,177753,0.888766,,,,,118472,,55849,,220901,,110451,,,0.118472,0.111698,0.110451,0.110451,,,,,,670037,358189,146027,730133,211491,999,859623,500,318833,200,159417,100,,0.806488,0.473888,0.111698,0.110451,0.110451,100707,0.118472,0.446792,0.220901,0.220901,111502,0.118472,0.223396,0.441803,0.331352,111502,0.118472,0.223396,0.331352,0.441803,0.0403244,0.0503533,0.0557511,0.0557511,125,,
53,,,,,,,,,,,140579,666604,264466,132233,134211,715697,29162,14581,831387,427343,176111,0.880557,,,,,112463,,533283,,211573,,105786,,,0.112463,0.106657,0.105786,0.105786,,,,,,671053,357849,145.81,729049,216484,999,888231,500,330328,200,165164,100,,0.76808,0.449851,0.106657,0.105786,0.105786,0.962234,0.112463,0.426626,0.211573,0.211573,106628,0.112463,0.213313,0.423145,0.317359,106628,0.112463,0.213313,0.317359,0.423145,0.038404,0.0481117,0.053314,0.053314,125,,
54,,,,,,,,,,,133715,638207,254002,127001,134267,714438,290976,145488,812721,42277,174789,0.873943,,,,,106972,,510565,,203201,,101601,,,0.106972,0.102113,0.101601,0.101601,,,,,,671337,357219,145488,727441,221691,999,917244,500,341917,200,170959,100,,0.733201,0.427887,0.102113,0.101601,0.101601,0.921827,0.106972,0.408452,0.203201,0.203201,10224,0.106972,0.204226,0.406403,0.304802,10224,0.106972,0.204226,0.304802,0.406403,0.0366601,0.0460913,0.0511201,0.0511201,125,,
55,,,,,,,,,,,127453,612661,24463,122315,134193,71267,290149,145075,796541,419058,173766,0.868829,,,,,101963,,490129,,195704,,978518,,,0.101963,0.0980258,0.0978518,0.0978518,,,,,,670967,356335,145075,725373,227071,999,946519,500,35355,200,176775,100,,0.70158,0.40785,0.0980258,0.0978518,0.0978518,0.885473,0.101963,0.392103,0.195704,0.195704,0.982977,0.101963,0.196052,0.391407,0.293556,0.982977,0.101963,0.196052,0.293556,0.391407,0.035079,0.0442737,0.0491489,0.0491489,125,,
56,,,,,,,,,,,121751,589731,236256,118128,134002,710458,289163,144582,782616,416153,173028,0.865138,,,,,974008,,471784,,189005,,945024,,,0.0974008,0.0943569,0.0945024,0.0945024,,,,,,670012,355229,144582,722908,232587,999,975925,500,365179,200,18259,100,,0.672965,0.389603,0.0943569,0.0945024,0.0945024,0.852838,0.0974008,0.377428,0.189005,0.189005,0.947631,0.0974008,0.188714,0.378009,0.283507,0.947631,0.0974008,0.188714,0.283507,0.378009,0.0336482,0.0426419,0.0473816,0.0473816,125,,
57,,,,,,,,,,,116568,569199,228796,114398,133707,70786,28804,14402,770754,414007,172563,0.862813,,,,,932542,,455359,,183037,,915183,,,0.0932542,0.0910718,0.0915183,0.0915183,,,,,,668537,353.93,144.02,72.01,238209,999,100534,500,376763,200,188382,100,,0.647125,0.373017,0.0910718,0.0915183,0.0915183,0.823615,0.0932542,0.364287,0.183037,0.183037,0.916026,0.0932542,0.182144,0.366073,0.274555,0.916026,0.0932542,0.182144,0.274555,0.366073,0.0323563,0.0411807,0.0458013,0.0458013,125,,
58,,,,,,,,,,,111866,550871,222174,111087,133321,704929,2868,1434,760798,412585,172361,0.861804,,,,,894926,,440697,,177739,,888695,,,0.0894926,0.0881394,0.0888695,0.0888695,,,,,,666603,352464,143.4,716999,243904,999,103466,500,388262,200,194131,100,,0.623849,0.35797,0.0881394,0.0888695,0.0888695,0.797528,0.0894926,0.352557,0.177739,0.177739,0.887857,0.0894926,0.176279,0.355478,0.266608,0.887857,0.0894926,0.176279,0.266608,0.355478,0.0311924,0.0398764,0.0443929,0.0443929,125,,
59,,,,,,,,,,,10761,534572,216321,108161,132853,701713,285461,14273,752615,411856,172414,0.862072,,,,,86088,,427657,,173057,,865285,,,0.086088,0.0855315,0.0865285,0.0865285,,,,,,664264,350856,142.73,713652,249648,999,106378,500,399639,200,19982,100,,0.602941,0.344352,0.0855315,0.0865285,0.0865285,0.774328,0.086088,0.342126,0.173057,0.173057,0.86285,0.086088,0.171063,0.346114,0.259585,0.86285,0.086088,0.171063,0.259585,0.346114,0.030147,0.0387164,0.0431425,0.0431425,125,,
60,,,,,,,,,,,103768,520142,211178,105589,132314,698257,284039,14202,746097,411796,172717,0.863585,,,,,830147,,416114,,168942,,844711,,,0.0830147,0.0832227,0.0844711,0.0844711,,,,,,661571,349129,142.02,710099,255415,999,109.26,500,41086,200,20543,100,,0.584224,0.332059,0.0832227,0.0844711,0.0844711,0.75379,0.0830147,0.332891,0.168942,0.168942,0.840758,0.0830147,0.166445,0.337884,0.253413,0.840758,0.0830147,0.166445,0.253413,0.337884,0.0292112,0.0376895,0.0420379,0.0420379,125,,
61,,,,,,,,,,,100311,50744,206689,103344,131714,694601,282551,141276,741151,412382,173263,0.866314,,,,,802487,,405952,,165351,,826756,,,0.0802487,0.0811904,0.0826756,0.0826756,,,,,,658.57,347301,141276,706378,261182,999,112104,500,421893,200,210947,100,,0.567537,0.320995,0.0811904,0.0826756,0.0826756,0.735713,0.0802487,0.324762,0.165351,0.165351,0.821358,0.0802487,0.162381,0.330702,0.248027,0.821358,0.0802487,0.162381,0.248027,0.330702,0.0283768,0.0367856,0.0410679,0.0410679,125,,
62,,,,,,,,,,,972107,496337,202806,101403,131061,690782,281009,140505,737699,413597,174047,0.870234,,,,,777686,,39707,,162245,,811224,,,0.0777686,0.079414,0.0811224,0.0811224,,,,,,655304,345391,140505,702523,266928,999,114902,500,432708,200,216354,100,,0.552733,0.311074,0.079414,0.0811224,0.0811224,0.719914,0.0777686,0.317656,0.162245,0.162245,0.804453,0.0777686,0.158828,0.32449,0.243367,0.804453,0.0777686,0.158828,0.243367,0.32449,0.0276366,0.0359957,0.0402227,0.0402227,125,,
63,,,,,,,,,,,944428,486719,199485,0.997427,130362,686834,279427,139713,735675,415424,175064,0.87532,,,,,755543,,389375,,159588,,797942,,,0.0755543,0.077875,0.0797942,0.0797942,,,,,,651812,343417,139713,698567,272634,999,117645,500,443277,200,221638,100,,0.53968,0.302217,0.077875,0.0797942,0.0797942,0.706231,0.0755543,0.3115,0.159588,0.159588,0.789863,0.0755543,0.15575,0.319177,0.239382,0.789863,0.0755543,0.15575,0.239382,0.319177,0.026984,0.0353115,0.0394932,0.0394932,125,,
64,,,,,,,,,,,919847,478481,196688,0.983442,129626,682788,277815,138908,735022,417848,17631,0.881551,,,,,735877,,382785,,157351,,786753,,,0.0735877,0.076557,0.0786753,0.0786753,,,,,,648131,341394,138908,694538,278281,999,120328,500,453572,200,226786,100,,0.528259,0.294351,0.076557,0.0786753,0.0786753,0.694517,0.0735877,0.306228,0.157351,0.157351,0.777429,0.0735877,0.153114,0.314701,0.236026,0.777429,0.0735877,0.153114,0.236026,0.314701,0.0264129,0.0347258,0.0388715,0.0388715,125,,
65,,,,,,,,,,,898157,471531,19438,0.971899,128859,678671,276185,138093,735689,420855,17778,0.888902,,,,,718525,,377225,,155504,,777519,,,0.0718525,0.075445,0.0777519,0.0777519,,,,,,644294,339335,138093,690463,283853,999,122942,500,46357,200,231785,100,,0.518359,0.28741,0.075445,0.0777519,0.0777519,0.68464,0.0718525,0.30178,0.155504,0.155504,0.767006,0.0718525,0.15089,0.311008,0.233256,0.767006,0.0718525,0.15089,0.233256,0.311008,0.0259179,0.034232,0.0383503,0.0383503,125,,
66,,,,,,,,,,,87917,465786,192529,0.962643,128066,67451,274546,137273,737632,424432,17947,0.897351,,,,,703336,,372628,,154023,,770114,,,0.0703336,0.0745257,0.0770114,0.0770114,,,,,,640332,337255,137273,686366,289334,999,125482,500,473246,200,236623,100,,0.509883,0.281335,0.0745257,0.0770114,0.0770114,0.676482,0.0703336,0.298103,0.154023,0.154023,0.758465,0.0703336,0.149051,0.308046,0.231034,0.758465,0.0703336,0.149051,0.231034,0.308046,0.0254942,0.0338241,0.0379233,0.0379233,125,,
67,,,,,,,,,,,862718,461169,191106,0.955532,127255,67033,272907,136454,740812,428563,181374,0.906871,,,,,690174,,368935,,152885,,764425,,,0.0690174,0.073787,0.0764425,0.0764425,,,,,,636274,335165,136454,682269,294709,999,127942,500,482578,200,241289,100,,0.502742,0.27607,0.073787,0.0764425,0.0764425,0.669936,0.0690174,0.295148,0.152885,0.152885,0.751689,0.0690174,0.147574,0.30577,0.229328,0.751689,0.0690174,0.147574,0.229328,0.30577,0.0251371,0.0334968,0.0375845,0.0375845,125,,
68,,,,,,,,,,,848645,457613,190087,0.950437,126429,666151,271277,135638,745192,433236,183487,0.917436,,,,,678916,,36609,,15207,,76035,,,0.0678916,0.073218,0.076035,0.076035,,,,,,632144,333075,135638,678192,299964,999,130316,500,491546,200,245773,100,,0.496854,0.271566,0.073218,0.076035,0.076035,0.664904,0.0678916,0.292872,0.15207,0.15207,0.746573,0.0678916,0.146436,0.30414,0.228105,0.746573,0.0678916,0.146436,0.228105,0.30414,0.0248427,0.0332452,0.0373286,0.0373286,125,,
69,,,,,,,,,,,83681,455055,189449,0.947244,125594,661995,269662,134831,750738,438435,185803,0.929015,,,,,669448,,364044,,151559,,757795,,,0.0669448,0.0728088,0.0757795,0.0757795,,,,,,627969,330997,134831,674156,305087,999,132598,500,50013,200,250065,100,,0.492147,0.267779,0.0728088,0.0757795,0.0757795,0.661298,0.0669448,0.291235,0.151559,0.151559,0.743019,0.0669448,0.145618,0.303118,0.227339,0.743019,0.0669448,0.145618,0.227339,0.303118,0.0246074,0.0330649,0.037151,0.037151,125,,
70,,,,,,,,,,,827086,45344,189169,0.945846,124754,657879,268071,134035,757414,444143,188315,0.941573,,,,,661669,,362752,,151335,,756677,,,0.0661669,0.0725503,0.0756677,0.0756677,,,,,,623769,328.94,134035,670176,310064,999,134785,500,508312,200,254156,100,,0.488553,0.264668,0.0725503,0.0756677,0.0756677,0.659039,0.0661669,0.290201,0.151335,0.151335,0.740941,0.0661669,0.145101,0.302671,0.227003,0.740941,0.0661669,0.145101,0.227003,0.302671,0.0244277,0.0329519,0.0370471,0.0370471,125,,
71,,,,,,,,,,,819355,452714,189229,0.946145,123913,653823,266508,133254,765189,450343,191014,0.955072,,,,,655484,,362171,,151383,,756916,,,0.0655484,0.0724343,0.0756916,0.0756916,,,,,,619566,326911,133254,666271,314885,999,136872,500,516075,200,258038,100,,0.486011,0.262194,0.0724343,0.0756916,0.0756916,0.658052,0.0655484,0.289737,0.151383,0.151383,0.740258,0.0655484,0.144869,0.302766,0.227075,0.740258,0.0655484,0.144869,0.227075,0.302766,0.0243006,0.0329026,0.0370129,0.0370129,125,,
72,,,,,,,,,,,81351,452831,18961,0.948049,123076,64984,264981,132491,774027,457014,193894,0.96947,,,,,650808,,362265,,151688,,758439,,,0.0650808,0.072453,0.0758439,0.0758439,,,,,,615.38,324.92,132491,662453,319.54,999,138853,500,523406,200,261703,100,,0.484464,0.260323,0.072453,0.0758439,0.0758439,0.658268,0.0650808,0.289812,0.151688,0.151688,0.740894,0.0650808,0.144906,0.303376,0.227532,0.740894,0.0650808,0.144906,0.227532,0.303376,0.0242232,0.0329134,0.0370447,0.0370447,125,,
73,,,,,,,,,,,809453,453746,190294,0.951472,122245,645947,263495,131748,783893,464134,196944,0.984718,,,,,647562,,362996,,152236,,761178,,,0.0647562,0.0725993,0.0761178,0.0761178,,,,,,611227,322973,131748,658738,324017,999,140727,500,530289,200,265144,100,,0.48386,0.259025,0.0725993,0.0761178,0.0761178,0.659624,0.0647562,0.290397,0.152236,0.152236,0.742779,0.0647562,0.145199,0.304471,0.228353,0.742779,0.0647562,0.145199,0.228353,0.304471,0.024193,0.0329812,0.037139,0.037139,125,,
74,,,,,,,,,,,807091,455415,191267,0.956333,121425,642156,262055,131027,794749,47168,200153,100076,,,,,645673,,364332,,153013,,765067,,,0.0645673,0.0728664,0.0765067,0.0765067,,,,,,607125,321078,131027,655137,328308,999,142489,500,536712,200,268356,100,,0.484149,0.258269,0.0728664,0.0765067,0.0765067,0.662059,0.0645673,0.291465,0.153013,0.153013,0.745847,0.0645673,0.145733,0.306027,0.22952,0.745847,0.0645673,0.145733,0.22952,0.306027,0.0242074,0.033103,0.0372923,0.0372923,125,,
75,,,,,,,,,,,80634,457799,192511,0.962553,120618,638481,260665,130333,806554,479622,203509,101754,,,,,645072,,366239,,154009,,770043,,,0.0645072,0.0732478,0.0770043,0.0770043,,,,,,603089,319241,130333,651663,332404,999,144135,500,542666,200,271333,100,,0.485285,0.258029,0.0732478,0.0770043,0.0770043,0.665515,0.0645072,0.292991,0.154009,0.154009,0.750033,0.0645072,0.146496,0.308017,0.231013,0.750033,0.0645072,0.146496,0.231013,0.308017,0.0242643,0.0332758,0.0375016,0.0375016,125,,
76,,,,,,,,,,,807118,460858,194011,0.970055,119827,634933,25933,129665,819262,487931,206999,103499,,,,,645695,,368686,,155209,,776044,,,0.0645695,0.0737372,0.0776044,0.0776044,,,,,,599133,317466,129665,648325,336298,999,145665,500,548141,200,27407,100,,0.487224,0.258278,0.0737372,0.0776044,0.0776044,0.669936,0.0645695,0.294949,0.155209,0.155209,0.755275,0.0645695,0.147474,0.310418,0.232813,0.755275,0.0645695,0.147474,0.232813,0.310418,0.0243612,0.0334968,0.0377637,0.0377637,125,,
77,,,,,,,,,,,809351,464554,195752,0.978762,119054,631522,258054,129027,832825,496574,210608,105304,,,,,647481,,371643,,156602,,78301,,,0.0647481,0.0743287,0.078301,0.078301,,,,,,595.27,315761,129027,645134,339982,999,147075,500,55313,200,276565,100,,0.489923,0.258992,0.0743287,0.078301,0.078301,0.675267,0.0647481,0.297315,0.156602,0.156602,0.761512,0.0647481,0.148657,0.313204,0.234903,0.761512,0.0647481,0.148657,0.234903,0.313204,0.0244961,0.0337633,0.0380756,0.0380756,125,,
78,,,,,,,,,,,812963,46885,19772,0.988599,118303,628257,256839,12842,847188,505513,21432,10716,,,,,65037,,37508,,158176,,790879,,,0.065037,0.075016,0.0790879,0.0790879,,,,,,591513,314129,128.42,642098,343.45,999,148363,500,557629,200,278814,100,,0.49334,0.260148,0.075016,0.0790879,0.0790879,0.681453,0.065037,0.300064,0.158176,0.158176,0.768684,0.065037,0.150032,0.316352,0.237264,0.768684,0.065037,0.150032,0.237264,0.316352,0.024667,0.0340726,0.0384342,0.0384342,125,,
79,,,,,,,,,,,817883,473707,199897,0.999487,117574,625148,25569,127845,862294,51471,218119,109059,,,,,654307,,378966,,159918,,79959,,,0.0654307,0.0757932,0.079959,0.079959,,,,,,587872,312574,127845,639224,346697,999,149529,500,561633,200,280817,100,,0.497434,0.261723,0.0757932,0.079959,0.079959,0.688439,0.0654307,0.303173,0.159918,0.159918,0.77673,0.0654307,0.151586,0.319836,0.239877,0.77673,0.0654307,0.151586,0.239877,0.319836,0.0248717,0.034422,0.0388365,0.0388365,125,,
80,,,,,,,,,,,824042,479088,20227,101135,116872,622202,254608,127304,878077,52412,221984,110992,,,,,659234,,38327,,161816,,809079,,,0.0659234,0.076654,0.0809079,0.0809079,,,,,,584359,311101,127304,636521,349718,999,150572,500,565143,200,282571,100,,0.502163,0.263693,0.076654,0.0809079,0.0809079,0.696171,0.0659234,0.306616,0.161816,0.161816,0.785587,0.0659234,0.153308,0.323632,0.242724,0.785587,0.0659234,0.153308,0.242724,0.323632,0.0251082,0.0348086,0.0392793,0.0392793,125,,
81,,,,,,,,,,,831369,484952,204821,10241,116196,619426,253597,126798,894468,533697,225898,112949,,,,,665095,,387962,,163856,,819282,,,0.0665095,0.0775923,0.0819282,0.0819282,,,,,,580982,309713,126798,633992,352509,999,151491,500,568159,200,284079,100,,0.507487,0.266038,0.0775923,0.0819282,0.0819282,0.704592,0.0665095,0.310369,0.163856,0.163856,0.795192,0.0665095,0.155185,0.327713,0.245785,0.795192,0.0665095,0.155185,0.245785,0.327713,0.0253743,0.0352296,0.0397596,0.0397596,125,,
82,,,,,,,,,,,839793,49126,207533,103767,11555,616825,252658,126329,91139,543392,229837,114919,,,,,671835,,393008,,166027,,830133,,,0.0671835,0.0786017,0.0830133,0.0830133,,,,,,577.75,308412,126329,631645,355067,999,152287,500,570684,200,285342,100,,0.513362,0.268734,0.0786017,0.0830133,0.0830133,0.713643,0.0671835,0.314407,0.166027,0.166027,0.80548,0.0671835,0.157203,0.332053,0.24904,0.80548,0.0671835,0.157203,0.24904,0.332053,0.0256681,0.0356822,0.040274,0.040274,125,,
83,,,,,,,,,,,849244,497971,210391,105195,114934,614404,251792,125896,928761,553154,233782,116891,,,,,679395,,398377,,168313,,841563,,,0.0679395,0.0796754,0.0841563,0.0841563,,,,,,574.67,307202,125896,629481,357.39,999,152.96,500,572725,200,286363,100,,0.519746,0.271758,0.0796754,0.0841563,0.0841563,0.723266,0.0679395,0.318702,0.168313,0.168313,0.816385,0.0679395,0.159351,0.336625,0.252469,0.816385,0.0679395,0.159351,0.252469,0.336625,0.0259873,0.0361633,0.0408192,0.0408192,125,,
84,,,,,,,,,,,859648,505042,213375,106688,11435,612169,251002,125501,946496,562929,237709,118854,,,,,687718,,404033,,17.07,,853501,,,0.0687718,0.0808067,0.0853501,0.0853501,,,,,,571.75,306084,125501,627505,359478,999,153512,500,574289,200,287145,100,,0.526594,0.275087,0.0808067,0.0853501,0.0853501,0.733399,0.0687718,0.323227,0.1707,0.1707,0.827836,0.0687718,0.161613,0.3414,0.25605,0.827836,0.0687718,0.161613,0.25605,0.3414,0.0263297,0.0366699,0.0413918,0.0413918,125,,
85,,,,,,,,,,,870931,512428,216468,108234,113799,61012,250288,125144,964501,57266,241594,120797,,,,,696745,,409942,,173174,,865872,,,0.0696745,0.0819885,0.0865872,0.0865872,,,,,,568995,305.06,125144,625719,361331,999,153946,500,575388,200,287694,100,,0.533861,0.278698,0.0819885,0.0865872,0.0865872,0.743977,0.0696745,0.327954,0.173174,0.173174,0.839762,0.0696745,0.163977,0.346349,0.259762,0.839762,0.0696745,0.163977,0.259762,0.346349,0.026693,0.0371989,0.0419881,0.0419881,125,,
86,,,,,,,,,,,883015,520084,21965,109825,113282,608261,249649,124825,982681,582291,245416,122708,,,,,706412,,416067,,17572,,878601,,,0.0706412,0.0832135,0.0878601,0.0878601,,,,,,566.41,304131,124825,624123,362949,999,154263,500,576033,200,288016,100,,0.541498,0.282565,0.0832135,0.0878601,0.0878601,0.754936,0.0706412,0.332854,0.17572,0.17572,0.852089,0.0706412,0.166427,0.35144,0.26358,0.852089,0.0706412,0.166427,0.26358,0.35144,0.0270749,0.0377468,0.0426044,0.0426044,125,,
87,,,,,,,,,,,89582,527964,222903,111451,11.28,606593,249088,124544,100093,591765,249149,124575,,,,,716656,,422371,,178322,,891611,,,0.0716656,0.0844742,0.0891611,0.0891611,,,,,,564,303297,124544,622719,364334,999,154466,500,57624,200,28812,100,,0.549459,0.286662,0.0844742,0.0891611,0.0891611,0.766207,0.0716656,0.337897,0.178322,0.178322,0.864742,0.0716656,0.168948,0.356644,0.267483,0.864742,0.0716656,0.168948,0.267483,0.356644,0.0274729,0.0383103,0.0432371,0.0432371,125,,
88,,,,,,,,,,,909265,536018,226205,113103,112354,605116,248602,124301,101916,601025,252773,126386,,,,,727412,,428815,,180964,,904821,,,0.0727412,0.085763,0.0904821,0.0904821,,,,,,561768,302558,124301,621505,365491,999,154.56,500,576027,200,288013,100,,0.557692,0.290965,0.085763,0.0904821,0.0904821,0.777721,0.0727412,0.343052,0.180964,0.180964,0.877642,0.0727412,0.171526,0.361928,0.271446,0.877642,0.0727412,0.171526,0.271446,0.361928,0.0278846,0.0388861,0.0438821,0.0438821,125,,
89,,,,,,,,,,,923265,544199,229538,114769,111943,603829,248191,124096,103725,610014,256263,128132,,,,,738612,,435359,,18363,,918151,,,0.0738612,0.0870718,0.0918151,0.0918151,,,,,,559715,301915,124096,620479,366424,999,154.55,500,575413,200,287706,100,,0.566147,0.295445,0.0870718,0.0918151,0.0918151,0.789409,0.0738612,0.348287,0.18363,0.18363,0.890711,0.0738612,0.174144,0.36726,0.275445,0.890711,0.0738612,0.174144,0.275445,0.36726,0.0283073,0.0394704,0.0445355,0.0445355,125,,
90,,,,,,,,,,,937731,552456,23288,11644,111569,60273,247855,123928,10551,618679,2596,1298,,,,,750185,,441964,,186304,,931519,,,0.0750185,0.0883929,0.0931519,0.0931519,,,,,,557845,301365,123928,619638,367137,999,154438,500,57442,200,28721,100,,0.574771,0.300074,0.0883929,0.0931519,0.0931519,0.801198,0.0750185,0.353572,0.186304,0.186304,0.903868,0.0750185,0.176786,0.372608,0.279456,0.903868,0.0750185,0.176786,0.279456,0.372608,0.0287385,0.0400599,0.0451934,0.0451934,125,,
