Time,C G1 G1,C G1 G2,C G1 G3,C G1 G4,C G2 G2,C G2 G3,C G2 G4,C G3 G3,C G3 G4,C G4 G4,CC G1,CC G2,CC G3,CC G4,CVS G1,CVS G2,CVS G3,CVS G4,CI G1,CI G2,CI G3,CI G4,CAB G1 G3,CAB G1 G4,DME,FT,I G1,I0 G1,I G2,I0 G2,I G3,I0 G3,I G4,I0 G4,IT,P G1,P G2,P G3,P G4,PT0 G1,PT0 G2,PT0 G3,PT0 G4,PTE,R G1,R G2,R G3,R G4,S G1,S0 G1,S G2,S0 G2,S G3,S0 G3,S G4,S0 G4,SAVEPER,TC G1,TCS G1 G1,TCS G1 G2,TCS G1 G3,TCS G1 G4,TC G2,TCS G2 G1,TCS G2 G2,TCS G2 G3,TCS G2 G4,TC G3,TCS G3 G1,TCS G3 G2,TCS G3 G3,TCS G3 G4,TC G4,TCS G4 G1,TCS G4 G2,TCS G4 G3,TCS G4 G4,TCONTAGIO G1,TCONTAGIO G2,TCONTAGIO G3,TCONTAGIO G4,TR,TIME STEP,TVS
10,,,,,,,,,,,0.533954,0.270434,0.12296,0.06148,0.0455491,0.0134497,0.00602423,0.00301211,155228,102547,0.470501,0.23525,,,,,427163,,216347,,0.98368,,0.49184,,,0.00427163,0.00432694,0.0049184,0.0049184,,,,,,227746,0.672485,0.301211,0.150606,993451,999,497164,500,198715,200,993576,100,,0.0312502,0.0170865,0.00432694,0.0049184,0.0049184,0.041253,0.00427163,0.0173077,0.0098368,0.0098368,0.0473543,0.00427163,0.00865387,0.0196736,0.0147552,0.0473543,0.00427163,0.00865387,0.0147552,0.0196736,0.00156251,0.00206265,0.00236772,0.00236772,125,,
11,,,,,,,,,,,0.683624,0.382408,0.174537,0.0872687,0.056629,0.0195894,0.00882373,0.00441187,208046,143504,0.659649,0.329824,,,,,546899,,305927,,13963,,0.69815,,,0.00546899,0.00611853,0.0069815,0.0069815,,,,,,283145,0.979468,0.441187,0.220593,991.7,999,495961,500,198163,200,990813,100,,0.0419575,0.021876,0.00611853,0.0069815,0.0069815,0.0578691,0.00546899,0.0244741,0.013963,0.013963,0.0665765,0.00546899,0.0122371,0.027926,0.0209445,0.0665765,0.00546899,0.0122371,0.0209445,0.027926,0.00209787,0.00289346,0.00332883,0.00332883,125,,
12,,,,,,,,,,,0.88915,0.538289,0.246401,0.1232,0.0709783,0.0282375,0.0127799,0.00638995,280861,200154,0.921126,0.460563,,,,,71132,,430631,,197121,,0.985603,,,0.0071132,0.00861262,0.00985603,0.00985603,,,,,,354892,141188,0.638995,0.319497,989338,999,494282,500,197.39,200,986949,100,,0.0567775,0.0284528,0.00861262,0.00985603,0.00985603,0.0809878,0.0071132,0.0344505,0.0197121,0.0197121,0.0933306,0.0071132,0.0172252,0.0394241,0.0295681,0.0933306,0.0071132,0.0172252,0.0295681,0.0394241,0.00283887,0.00404939,0.00466653,0.00466653,125,,
13,,,,,,,,,,,117161,0.754546,0.346122,0.173061,0.0898372,0.0403695,0.0183431,0.00917153,380915,278056,128029,0.640143,,,,,937289,,603637,,276898,,138449,,,0.00937289,0.0120727,0.0138449,0.0138449,,,,,,449186,201848,0.917153,0.458576,986135,999,491945,500,196314,200,981569,100,,0.0772541,0.0374916,0.0120727,0.0138449,0.0138449,0.113043,0.00937289,0.048291,0.0276898,0.0276898,0.130433,0.00937289,0.0241455,0.0553795,0.0415346,0.130433,0.00937289,0.0241455,0.0415346,0.0553795,0.0038627,0.00565217,0.00652163,0.00652163,125,,
14,,,,,,,,,,,155941,105316,0.483767,0.241883,0.114908,0.0573202,0.0261284,0.0130642,517658,384322,17693,0.88465,,,,,124753,,842532,,387013,,193507,,,0.0124753,0.0168506,0.0193507,0.0193507,,,,,,574541,286601,130642,0.653211,981779,999,488709,500,194823,200,974117,100,,0.105453,0.0499011,0.0168506,0.0193507,0.0193507,0.15728,0.0124753,0.0674025,0.0387013,0.0387013,0.181631,0.0124753,0.0337013,0.0774027,0.058052,0.181631,0.0124753,0.0337013,0.058052,0.0774027,0.00527265,0.00786402,0.00908156,0.00908156,125,,
15,,,,,,,,,,,209019,146287,0.67241,0.336205,0.148511,0.0808981,0.0369675,0.0184838,703028,527668,242708,121354,,,,,167215,,11703,,537928,,268964,,,0.0167215,0.023406,0.0268964,0.0268964,,,,,,742556,404491,184838,0.924188,975853,999,484252,500,192772,200,963862,100,,0.144085,0.066886,0.023406,0.0268964,0.0268964,0.217931,0.0167215,0.0936238,0.0537928,0.0537928,0.251808,0.0167215,0.0468119,0.107586,0.0806892,0.251808,0.0167215,0.0468119,0.0806892,0.107586,0.00720424,0.0108965,0.0125904,0.0125904,125,,
16,,,,,,,,,,,281268,202008,0.928477,0.464238,0.193773,0.113521,0.0519672,0.0259836,951382,718065,329716,164858,,,,,225014,,161607,,742781,,371391,,,0.0225014,0.0323213,0.0371391,0.0371391,,,,,,968866,567603,259836,129918,967.81,999,478163,500,189974,200,949869,100,,0.196605,0.0900058,0.0323213,0.0371391,0.0371391,0.300343,0.0225014,0.129285,0.0742781,0.0742781,0.347118,0.0225014,0.0646426,0.148556,0.111417,0.347118,0.0225014,0.0646426,0.111417,0.148556,0.00983026,0.0150171,0.0173559,0.0173559,125,,
17,,,,,,,,,,,378786,276889,127158,0.63579,0.254844,0.158355,0.0725704,0.0362852,127868,965625,442175,221088,,,,,303029,,221511,,101726,,508632,,,0.0303029,0.0443022,0.0508632,0.0508632,,,,,,127422,791776,362852,181426,956955,999,469931,500,186199,200,930994,100,,0.26724,0.121212,0.0443022,0.0508632,0.0508632,0.410964,0.0303029,0.177209,0.101726,0.101726,0.47495,0.0303029,0.0886043,0.203453,0.15259,0.47495,0.0303029,0.0886043,0.15259,0.203453,0.013362,0.0205482,0.0237475,0.0237475,125,,
18,,,,,,,,,,,508826,375906,172335,0.861675,0.337119,0.219443,0.100603,0.0503014,170033,127824,582987,291493,,,,,407061,,300724,,137868,,68934,,,0.0407061,0.0601449,0.068934,0.068934,,,,,,16856,109721,503014,251507,942438,999,458955,500,181183,200,905915,100,,0.360837,0.162824,0.0601449,0.068934,0.068934,0.557022,0.0407061,0.24058,0.137868,0.137868,0.643534,0.0407061,0.12029,0.275736,0.206802,0.643534,0.0407061,0.12029,0.206802,0.275736,0.0180419,0.0278511,0.0321767,0.0321767,125,,
19,,,,,,,,,,,679366,504054,230456,115228,0.447404,0.301743,0.13828,0.0691401,22.27,165759,751798,375899,,,,,543493,,403243,,184364,,921822,,,0.0543493,0.0806486,0.0921822,0.0921822,,,,,,223702,150871,691401,345701,923281,999,444589,500,174.65,200,873248,100,,0.48241,0.217397,0.0806486,0.0921822,0.0921822,0.745673,0.0543493,0.322594,0.184364,0.184364,0.860922,0.0543493,0.161297,0.368729,0.276547,0.860922,0.0543493,0.161297,0.276547,0.368729,0.0241205,0.0372836,0.0430461,0.0430461,125,,
